electrode,muscle,lf_absE,lf_median,lf_min,lf_max,envelope_db,lf_pca,pca_dominance,fibre_model,n_elements
pre_tragus,masseter,0.28755455871585345,0.14298859924856244,0.05365778099297185,0.22802466936450858,12.566982522577291,,,isotropic,32633
pre_tragus,temporalis,0.2924676993131349,0.12573480451360936,0.06476828569103144,0.1939661341714278,9.527270161089037,,,isotropic,200000
pre_tragus,medial_pterygoid,0.27001788529507176,0.12798163016323927,0.058123160669572314,0.17995532861274635,9.81630976542394,0.14202637334396354,2.536,pca,18993
pre_tragus,lateral_pterygoid,0.26180466678095904,0.12033210877568709,0.04462865435036568,0.24355340272959172,14.739608188613031,,,isotropic,16134
pre_tragus,orbicularis_oris,0.24835460098272039,0.115453583592559,0.0281625107331711,0.21623366078394674,17.705038612618424,,,isotropic,25336
pre_tragus,buccinator,0.27455189356883586,0.13375708155289914,0.031982901141437294,0.233843871087765,17.280162722229345,,,isotropic,17789
pre_tragus,mentalis,0.12471396370859683,0.06179974163631692,0.00951999298307064,0.10653867217464252,20.977413029088083,0.10165681921600776,2.174,pca,3226
pre_tragus,depressor_anguli_oris,0.20009385169527585,0.10576347480570014,0.02947151282061833,0.14358787137958504,13.754306557694623,,,isotropic,13347
pre_tragus,platysma,0.20062377834869333,0.08798614444231828,0.02805825626146096,0.1635426654379477,15.31140788515468,,,isotropic,37401
pre_tragus,sternocleidomastoid,0.1931816015409487,0.08066424678819155,0.029033712512850227,0.14104912272780093,13.729356343057603,0.09760070663376097,1.724,pca,45844
submaxillary,masseter,0.3374572074299634,0.14788278613104117,0.05811255063413888,0.28941092615152064,13.94489970892456,,,isotropic,32633
submaxillary,temporalis,0.1376676559994199,0.06503545804565453,0.017914703999880783,0.1051983707159698,15.375987536204505,,,isotropic,200000
submaxillary,medial_pterygoid,0.3198424418402582,0.14129558341180776,0.054026077975386874,0.28269212936816196,14.374205521876481,0.13673366987436641,2.536,pca,18993
submaxillary,lateral_pterygoid,0.18576649315915517,0.08608912320010922,0.02570905471800512,0.1415656795646605,14.81743738903715,,,isotropic,16134
submaxillary,orbicularis_oris,0.5197246011356184,0.21335500397384488,0.08333054914583582,0.44313261234343787,14.514589385725197,,,isotropic,25336
submaxillary,buccinator,0.6357964259792424,0.28568928214889233,0.08434719575909844,0.5866688621974728,16.846447799034692,,,isotropic,17789
submaxillary,mentalis,0.5757734785099365,0.27006217652698933,0.05455775041655067,0.5254712633931853,19.673850317913292,0.36201683973897014,2.174,pca,3226
submaxillary,depressor_anguli_oris,0.8008060874754256,0.3497420512182714,0.14539843981246595,0.651031455353547,13.020844522872906,,,isotropic,13347
submaxillary,platysma,0.6952551656746071,0.31064748255859986,0.11219114673086229,0.5406169197634846,13.65862093369329,,,isotropic,37401
