electrode,muscle,condition,mesh,lead_field,db_rel_best_jaw
cg08,orbicularis_oris,aniso,truncated,0.1104316686140166,-9.9603
cg08,buccinator,aniso,truncated,0.1359807349378789,-10.9919
cg08,mentalis,aniso,truncated,0.0637916128615057,-22.9257
cg08,depressor_anguli_oris,aniso,truncated,0.1118109173268672,-15.0611
cg08,platysma,aniso,truncated,0.1017365653850694,-10.6025
cg08,sternocleidomastoid,aniso,truncated,0.2220395418408385,5.8857
cg09,masseter,aniso,truncated,0.1442097997957095,-1.4986
cg09,temporalis,aniso,truncated,0.1030607061481712,-0.281
cg09,medial_pterygoid,aniso,truncated,0.2505898336728084,3.9375
cg09,lateral_pterygoid,aniso,truncated,0.1085379081155094,0.3605
cg09,orbicularis_oris,aniso,truncated,0.1195395539136683,-9.272
cg09,buccinator,aniso,truncated,0.1505076158422191,-10.1103
cg09,mentalis,aniso,truncated,0.0698568241964354,-22.1368
cg09,depressor_anguli_oris,aniso,truncated,0.1219480357306736,-14.3073
cg09,platysma,aniso,truncated,0.1095405452096478,-9.9605
cg09,sternocleidomastoid,aniso,truncated,0.2203433707235385,5.8191
cg10,masseter,aniso,truncated,0.1399413100936877,-1.7596
cg10,temporalis,aniso,truncated,0.1110449452923882,0.3671
cg10,medial_pterygoid,aniso,truncated,0.2471671865070092,3.818
cg10,lateral_pterygoid,aniso,truncated,0.111289097179098,0.5779
cg10,orbicularis_oris,aniso,truncated,0.1307154743484784,-8.4957
cg10,buccinator,aniso,truncated,0.1588641888407925,-9.6409
cg10,mentalis,aniso,truncated,0.0742748262248747,-21.6042
cg10,depressor_anguli_oris,aniso,truncated,0.12975187705621,-13.7685
cg10,platysma,aniso,truncated,0.115865844581621,-9.4729
cg10,sternocleidomastoid,aniso,truncated,0.1957348421894239,4.7905
earlobe_ipsi,masseter,aniso,truncated,0.1379520710921123,-1.884
earlobe_ipsi,temporalis,aniso,truncated,0.1064243179931529,-0.002
earlobe_ipsi,medial_pterygoid,aniso,truncated,0.2473123427335916,3.8231
earlobe_ipsi,lateral_pterygoid,aniso,truncated,0.1115456283292925,0.5979
earlobe_ipsi,orbicularis_oris,aniso,truncated,0.1200543097271296,-9.2347
earlobe_ipsi,buccinator,aniso,truncated,0.1485875122211436,-10.2218
earlobe_ipsi,mentalis,aniso,truncated,0.0683647766832953,-22.3244
earlobe_ipsi,depressor_anguli_oris,aniso,truncated,0.120057513855178,-14.443
earlobe_ipsi,platysma,aniso,truncated,0.107333480440108,-10.1373
earlobe_ipsi,sternocleidomastoid,aniso,truncated,0.2044604784835775,5.1693
hyoid,masseter,aniso,truncated,0.1169082634945914,-3.3216
hyoid,temporalis,aniso,truncated,0.0502148637986979,-6.5262
hyoid,medial_pterygoid,aniso,truncated,0.3048059932842822,5.6387
hyoid,lateral_pterygoid,aniso,truncated,0.0890490860840039,-1.3585
hyoid,orbicularis_oris,aniso,truncated,0.105214091845682,-10.3807
hyoid,buccinator,aniso,truncated,0.155863836593637,-9.8065
hyoid,mentalis,aniso,truncated,0.1671206029882734,-14.5604
hyoid,depressor_anguli_oris,aniso,truncated,0.2263864774578443,-8.9338
hyoid,platysma,aniso,truncated,0.3609395872206355,0.3967
hyoid,sternocleidomastoid,aniso,truncated,0.1682177336694963,3.4746
mastoid,masseter,aniso,truncated,0.101991019551066,-4.5073
mastoid,temporalis,aniso,truncated,0.0970975196278133,-0.7987
mastoid,medial_pterygoid,aniso,truncated,0.1990549172050689,1.9377
mastoid,lateral_pterygoid,aniso,truncated,0.0887150149457253,-1.3912
mastoid,orbicularis_oris,aniso,truncated,0.0880625194090239,-11.9264
mastoid,buccinator,aniso,truncated,0.1092088447815559,-12.8963
mastoid,mentalis,aniso,truncated,0.0499533787716457,-25.0497
mastoid,depressor_anguli_oris,aniso,truncated,0.0865278397904463,-17.2877
mastoid,platysma,aniso,truncated,0.0780179436529537,-12.9081
mastoid,sternocleidomastoid,aniso,truncated,0.1760140907611293,3.8681
mental,masseter,aniso,truncated,0.1790562721776514,0.3813
mental,temporalis,aniso,truncated,0.0706284212090941,-3.5633
mental,medial_pterygoid,aniso,truncated,0.2626876286086426,4.347
mental,lateral_pterygoid,aniso,truncated,0.0895999655162544,-1.305
mental,orbicularis_oris,aniso,truncated,0.3545648589308902,0.1717
mental,buccinator,aniso,truncated,0.4754022612745446,-0.1202
mental,mentalis,aniso,truncated,0.9082655896105408,0.1432
mental,depressor_anguli_oris,aniso,truncated,0.6441917422387823,0.1495
mental,platysma,aniso,truncated,0.3433313984610329,-0.0378
mental,sternocleidomastoid,aniso,truncated,0.1521464644432738,2.6024
midjaw,masseter,aniso,truncated,0.1544857935249085,-0.9008
midjaw,temporalis,aniso,truncated,0.1093720650742076,0.2353
midjaw,medial_pterygoid,aniso,truncated,0.233539145461288,3.3254
